pfaf_id,FID,area_km2,ISO,Admin0,Admin1,rfr_score,cfr_score,Resilience_Index, NormalizedLackofResilience ,Alert,Flag
742495,13861.0,19678.53323,USA,United States,Kansas,1.226471584,0.0,0.77,0.32,Information,
742499,13865.0,37153.02179,USA,United States,Colorado,0.767916549,0.0,0.77,0.32,Information,
742510,13866.0,298.7633946,USA,United States,Mississippi,0.500880639,0.0,0.77,0.32,Information,
742521,13867.0,5862.23988,USA,United States,Arkansas,0.647214986,0.0,0.77,0.32,Information,
742522,13868.0,4908.480968,USA,United States,Arkansas,0.171442361,0.0,0.77,0.32,Information,
742523,13869.0,3120.474428,USA,United States,Arkansas,0.484297768,0.0,0.77,0.32,Information,
742524,13870.0,4596.783059,USA,United States,Arkansas,1.62821341,0.0,0.77,0.32,Information,
742525,13871.0,1891.991966,USA,United States,Arkansas,1.074940368,0.0,0.77,0.32,Information,
742526,13872.0,22215.76503,USA,United States,Missouri,1.372414879,0.0,0.77,0.32,Information,
742527,13873.0,3683.809906,USA,United States,Arkansas,1.618401791,0.0,0.77,0.32,,
742529,13875.0,20834.68629,USA,United States,Arkansas,0.581352926,0.0,0.77,0.32,Information,
742530,13876.0,1278.475938,USA,United States,Mississippi,1.326041977,0.0,0.77,0.32,Information,
742540,13877.0,20922.16658,USA,United States,Arkansas,1.335570458,0.0,0.77,0.32,Information,
742550,13878.0,6373.943433,USA,United States,Tennessee,0.258703431,0.0,0.77,0.32,Information,
742560,13879.0,6733.919503,USA,United States,Tennessee,0.695128326,0.0,0.77,0.32,Information,
742570,13880.0,800.168994,USA,United States,Tennessee,0.307084269,0.0,0.77,0.32,Information,
742580,13881.0,11841.36995,USA,United States,Tennessee,0.201092026,0.0,0.77,0.32,Information,
742590,13882.0,5702.192678,USA,United States,Missouri,0.745963845,0.0,0.77,0.32,,
742610,13883.0,3314.653093,USA,United States,Illinois,1.846808904,0.0,0.77,0.32,,
742621,13884.0,6431.275297,USA,United States,Tennessee,0.708245636,0.0,0.77,0.32,Information,
742622,13885.0,9070.791163,USA,United States,Tennessee,0.317860182,0.0,0.77,0.32,Information,
742623,13886.0,37740.49072,USA,United States,Alabama,0.617231468,0.0,0.77,0.32,Information,
742624,13887.0,7010.376752,USA,United States,North Carolina,1.117389459,0.0,0.77,0.32,Information,
742625,13888.0,2012.940454,USA,United States,Tennessee,3.004455961,0.0,0.77,0.32,Information,
742626,13889.0,11492.84923,USA,United States,Tennessee,1.069048367,0.0,0.77,0.32,Information,
742627,13890.0,9209.736095,USA,United States,North Carolina,0.786144336,0.0,0.77,0.32,Information,
742628,13891.0,13287.63753,USA,United States,North Carolina,0.756507845,0.0,0.77,0.32,Information,
742629,13892.0,9782.03864,USA,United States,Tennessee,1.022627824,0.0,0.77,0.32,Information,
742641,13894.0,5308.021384,USA,United States,Kentucky,0.259198276,0.0,0.77,0.32,Information,
742643,13896.0,4555.023799,USA,United States,Tennessee,1.208749483,0.0,0.77,0.32,Information,
742644,13897.0,2464.926542,USA,United States,Tennessee,0.124917003,0.0,0.77,0.32,Information,
742645,13898.0,2808.518241,USA,United States,Tennessee,1.186573824,0.0,0.77,0.32,Information,
742646,13899.0,6704.254909,USA,United States,Tennessee,0.312694893,0.0,0.77,0.32,Information,
742647,13900.0,8401.8009,USA,United States,Kentucky,1.121771423,0.0,0.77,0.32,Information,
