,pfaf_id,1-Day_TotalArea_km2,1-Day_perc_Area,1-Day_CS_TotalArea_km2,1-Day_CS_perc_Area,2-Day_TotalArea_km2,2-Day_perc_Area,3-Day_TotalArea_km2,3-Day_perc_Area
174,114703,24.312,0.564,10.312,0.239,3.062,0.071,0.062,0.001
175,114704,18.0,0.251,6.312,0.088,0.75,0.01,0.0,0.0
176,114705,16.75,0.202,3.812,0.046,0.312,0.004,0.0,0.0
177,114706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,114707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,114708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,114709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,114801,1.562,0.032,0.312,0.006,0.0,0.0,0.0,0.0
182,114802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,114803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,114804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,114805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,114806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,114807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,114808,0.562,0.007,0.562,0.007,0.0,0.0,0.0,0.0
189,114809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,114910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,114920,0.438,0.004,0.438,0.004,0.0,0.0,0.0,0.0
192,114931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,114932,1.25,0.022,1.25,0.022,0.0,0.0,0.0,0.0
194,114933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,114934,0.312,0.008,0.312,0.008,0.0,0.0,0.0,0.0
196,114935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,114936,1.688,0.139,1.188,0.098,0.0,0.0,0.0,0.0
198,114937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,114938,4.625,0.076,3.875,0.064,0.0,0.0,0.0,0.0
200,114939,1.125,0.035,0.875,0.028,0.0,0.0,0.0,0.0
201,114940,2.375,0.016,2.375,0.016,0.0,0.0,0.0,0.0
202,114950,4.5,0.06,3.625,0.048,0.0,0.0,0.0,0.0
